strain	species	species_match	contig_count	N50	largest_contig	total_size	ambiguous_bases	QC_warnings	ST	Antibiotic	Resistance.phenotype	Measurement.sign	Measurement	Measurement.units	Laboratory.Typing.Method	Testing.standard	Testing.standard.year.or.version	Laboratory.Typing.Platform	Vendor	Laboratory.Typing.Method.Version.or.Reagent	index	Greater	Measurement.Round	Flq_mutations
G18000399	Klebsiella pneumoniae	strong	113	425579	580267	5549887	no	-	ST20	ciprofloxacin	resistant	>=	4	mg/L	MIC (broth dilution)	EUCAST					Colombia_GHRU	4	4	-
G18000412	Klebsiella pneumoniae	strong	120	275645	734958	5498553	no	-	ST14	ciprofloxacin	resistant	>=	4	mg/L	MIC (broth dilution)	EUCAST					Colombia_GHRU	4	4	-
G18000419	Klebsiella pneumoniae	strong	111	359424	921596	5544428	no	-	ST17	ciprofloxacin	resistant	>=	4	mg/L	MIC (broth dilution)	EUCAST					Colombia_GHRU	4	4	-
G18000857	Klebsiella pneumoniae	strong	96	446746	1989328	5692865	no	-	ST45	ciprofloxacin	resistant	>=	4	mg/L	MIC (broth dilution)	EUCAST					Colombia_GHRU	4	4	-
G18000451	Klebsiella pneumoniae	strong	69	336134	625232	5401307	no	-	ST4110	ciprofloxacin	resistant	>=	4	mg/L	MIC (broth dilution)	EUCAST					Colombia_GHRU	4	4	-
G18000935	Klebsiella pneumoniae	strong	112	322741	987752	5463262	no	-	ST39	ciprofloxacin	resistant	>=	4	mg/L	MIC (broth dilution)	EUCAST					Colombia_GHRU	4	4	-
G18000478	Klebsiella pneumoniae	strong	102	425419	862416	5455142	no	-	ST129	ciprofloxacin	resistant	>=	4	mg/L	MIC (broth dilution)	EUCAST					Colombia_GHRU	4	4	-
G18000479	Klebsiella pneumoniae	strong	110	362830	1392640	5856280	no	-	ST70	ciprofloxacin	resistant	>=	4	mg/L	MIC (broth dilution)	EUCAST					Colombia_GHRU	4	4	-
G18000480	Klebsiella pneumoniae	strong	182	184097	451997	5774188	no	-	ST25	ciprofloxacin	resistant	>=	4	mg/L	MIC (broth dilution)	EUCAST					Colombia_GHRU	4	4	-
G18000973	Klebsiella pneumoniae	strong	128	642487	792040	5493323	no	-	ST101	ciprofloxacin	resistant	>=	4	mg/L	MIC (broth dilution)	EUCAST					Colombia_GHRU	4	4	-
G18000507	Klebsiella pneumoniae	strong	179	152357	315358	5422177	no	-	ST1303	ciprofloxacin	resistant	>=	4	mg/L	MIC (broth dilution)	EUCAST					Colombia_GHRU	4	4	-
G18000530	Klebsiella pneumoniae	strong	107	318407	1195442	5582156	no	-	ST36	ciprofloxacin	resistant	>=	4	mg/L	MIC (broth dilution)	EUCAST					Colombia_GHRU	4	4	-
G18000998	Klebsiella pneumoniae	strong	174	200476	844223	5517854	no	-	ST45	ciprofloxacin	resistant	>=	4	mg/L	MIC (broth dilution)	EUCAST					Colombia_GHRU	4	4	-
G18000999	Klebsiella pneumoniae	strong	153	261612	1050282	5522087	no	-	ST45	ciprofloxacin	resistant	>=	4	mg/L	MIC (broth dilution)	EUCAST					Colombia_GHRU	4	4	-
G18001014	Klebsiella pneumoniae	strong	52	875210	2126381	5485645	no	-	ST4987	ciprofloxacin	resistant	>=	4	mg/L	MIC (broth dilution)	EUCAST					Colombia_GHRU	4	4	-
G18001017	Klebsiella pneumoniae	strong	85	446747	963054	5675131	no	-	ST45	ciprofloxacin	resistant	>=	4	mg/L	MIC (broth dilution)	EUCAST					Colombia_GHRU	4	4	-
G18001031	Klebsiella pneumoniae	strong	140	262897	579592	5589183	no	-	ST25	ciprofloxacin	resistant	>=	4	mg/L	MIC (broth dilution)	EUCAST					Colombia_GHRU	4	4	-
G18000224	Klebsiella pneumoniae	strong	230	361532	582349	5782235	no	-	ST2599	ciprofloxacin	resistant	>=	4	mg/L	MIC (broth dilution)	EUCAST					Colombia_GHRU	4	4	-
G18001055	Klebsiella pneumoniae	strong	164	219111	491401	5625214	no	-	ST25	ciprofloxacin	resistant	>=	4	mg/L	MIC (broth dilution)	EUCAST					Colombia_GHRU	4	4	-
G18001056	Klebsiella pneumoniae	strong	140	252981	586966	5628138	no	-	ST25	ciprofloxacin	resistant	>=	4	mg/L	MIC (broth dilution)	EUCAST					Colombia_GHRU	4	4	-
G18001079	Klebsiella pneumoniae	strong	110	372129	764897	5798768	no	-	ST405	ciprofloxacin	resistant	>=	4	mg/L	MIC (broth dilution)	EUCAST					Colombia_GHRU	4	4	-
G18001080	Klebsiella pneumoniae	strong	101	359106	1530853	5525875	no	-	ST2833	ciprofloxacin	resistant	>=	4	mg/L	MIC (broth dilution)	EUCAST					Colombia_GHRU	4	4	-
G18000607	Klebsiella pneumoniae	strong	85	371455	1108963	5623553	no	-	ST694	ciprofloxacin	resistant	>=	4	mg/L	MIC (broth dilution)	EUCAST					Colombia_GHRU	4	4	-
G18001108	Klebsiella pneumoniae	strong	110	283206	629049	5512284	no	-	ST219	ciprofloxacin	resistant	>=	4	mg/L	MIC (broth dilution)	EUCAST					Colombia_GHRU	4	4	-
G18000616	Klebsiella pneumoniae	strong	61	477560	1733790	5476569	no	-	ST70	ciprofloxacin	resistant	>=	4	mg/L	MIC (broth dilution)	EUCAST					Colombia_GHRU	4	4	-
G18000182	Klebsiella pneumoniae	strong	157	258580	532950	5584376	no	-	ST520	ciprofloxacin	resistant	>=	4	mg/L	MIC (broth dilution)	EUCAST					Colombia_GHRU	4	4	-
G18001026	Klebsiella pneumoniae	strong	93	309065	824636	5303878	no	-	ST40	ciprofloxacin	resistant	>=	4	mg/L	MIC (broth dilution)	EUCAST					Colombia_GHRU	4	4	-
G18000027	Klebsiella pneumoniae	strong	104	260300	898724	5428394	no	-	ST300	ciprofloxacin	resistant	>=	4	mg/L	MIC (broth dilution)	EUCAST					Colombia_GHRU	4	4	-
G18000141	Klebsiella pneumoniae	strong	120	230338	652089	5441422	no	-	ST37	ciprofloxacin	resistant	>=	4	mg/L	MIC (broth dilution)	EUCAST					Colombia_GHRU	4	4	-
G18000837	Klebsiella pneumoniae	strong	92	370029	706636	5409006	no	-	ST560	ciprofloxacin	resistant	>=	4	mg/L	MIC (broth dilution)	EUCAST					Colombia_GHRU	4	4	-
G18000860	Klebsiella pneumoniae	strong	66	317463	451369	5300229	no	-	ST35	ciprofloxacin	resistant	>=	4	mg/L	MIC (broth dilution)	EUCAST					Colombia_GHRU	4	4	-
ERR3449050	Klebsiella pneumoniae	strong	80	767216	1480180	5399143	no	-	ST1754	ciprofloxacin	resistant		1	mg/L	MIC (broth dilution)	EUCAST		Phoenix			SPARK	1	1	-
ERR3449051	Klebsiella pneumoniae	strong	84	767216	1480180	5399584	no	-	ST1754	ciprofloxacin	resistant		1	mg/L	MIC (broth dilution)	EUCAST		Phoenix			SPARK	1	1	-
ERR3449222	Klebsiella pneumoniae	strong	99	318590	773732	5488767	no	-	ST268	ciprofloxacin	resistant		1	mg/L	MIC (broth dilution)	EUCAST		Phoenix			SPARK	1	1	-
ERR3449223	Klebsiella pneumoniae	strong	99	371555	983720	5480035	no	-	ST323	ciprofloxacin	resistant	>	1	mg/L	MIC (broth dilution)	EUCAST		Phoenix			SPARK	2	2	-
ERR3449249	Klebsiella pneumoniae	strong	78	436308	949839	5491421	no	-	ST45	ciprofloxacin	resistant		1	mg/L	MIC (broth dilution)	EUCAST		Phoenix			SPARK	1	1	-
ERR3449410	Klebsiella pneumoniae	strong	105	304920	496819	5550913	no	-	ST35	ciprofloxacin	resistant	>	1	mg/L	MIC (broth dilution)	EUCAST		Phoenix			SPARK	2	2	-
ERR3449442	Klebsiella pneumoniae	strong	107	409572	1282539	5458288	no	-	ST1190	ciprofloxacin	resistant		1	mg/L	MIC (broth dilution)	EUCAST		Phoenix			SPARK	1	1	-
ERR3449508	Klebsiella pneumoniae	strong	77	491266	1386130	5731412	no	-	ST5145	ciprofloxacin	resistant		1	mg/L	MIC (broth dilution)	EUCAST		Phoenix			SPARK	1	1	-
ERR3449598	Klebsiella pneumoniae	strong	99	314597	618594	5639326	no	-	ST45	ciprofloxacin	resistant	>	1	mg/L	MIC (broth dilution)	EUCAST		Phoenix			SPARK	2	2	-
ERR3469781	Klebsiella pneumoniae	strong	77	767216	1518316	5399620	no	-	ST1754	ciprofloxacin	resistant		1	mg/L	MIC (broth dilution)	EUCAST		Phoenix			SPARK	1	1	-
ERR3469876	Klebsiella pneumoniae	strong	117	273805	618593	5723025	no	-	ST45	ciprofloxacin	resistant	>	1	mg/L	MIC (broth dilution)	EUCAST		Phoenix			SPARK	2	2	-
ERR3469908	Klebsiella pneumoniae	strong	129	210590	416215	5715511	no	-	ST45	ciprofloxacin	resistant	>	1	mg/L	MIC (broth dilution)	EUCAST		Phoenix			SPARK	2	2	-
ERR3480262	Klebsiella pneumoniae	strong	65	491266	2248413	5579090	no	-	ST405	ciprofloxacin	resistant	>	1	mg/L	MIC (broth dilution)	EUCAST		Phoenix			SPARK	2	2	-
ERR3480274	Klebsiella pneumoniae	strong	67	441606	750443	5141561	no	-	ST107	ciprofloxacin	resistant	>	1	mg/L	MIC (broth dilution)	EUCAST		Phoenix			SPARK	2	2	-
ERR3480324	Klebsiella pneumoniae	strong	124	199673	416215	5660967	no	-	ST45	ciprofloxacin	resistant	>	1	mg/L	MIC (broth dilution)	EUCAST		Phoenix			SPARK	2	2	-
ERR3480332	Klebsiella pneumoniae	strong	48	419018	834667	5357722	no	-	ST152	ciprofloxacin	resistant	>	1	mg/L	MIC (broth dilution)	EUCAST		Phoenix			SPARK	2	2	-
ERR3480391	Klebsiella pneumoniae	strong	110	295107	888539	5582967	no	-	ST1428	ciprofloxacin	resistant		1	mg/L	MIC (broth dilution)	EUCAST		Phoenix			SPARK	1	1	-
ERR3480406	Klebsiella pneumoniae	strong	81	405783	983725	5428788	no	-	ST323	ciprofloxacin	resistant	>	1	mg/L	MIC (broth dilution)	EUCAST		Phoenix			SPARK	2	2	-
ERR3480419	Klebsiella pneumoniae	strong	127	253031	517611	5448956	no	-	ST13	ciprofloxacin	resistant	>	1	mg/L	MIC (broth dilution)	EUCAST		Phoenix			SPARK	2	2	-
ERR3480434	Klebsiella pneumoniae	strong	115	217820	454165	5534798	no	-	ST45	ciprofloxacin	resistant	>	1	mg/L	MIC (broth dilution)	EUCAST		Phoenix			SPARK	2	2	-
ERR3480449	Klebsiella pneumoniae	strong	76	350172	629049	5490689	no	-	ST219	ciprofloxacin	resistant		1	mg/L	MIC (broth dilution)	EUCAST		Phoenix			SPARK	1	1	-
ERR3480532	Klebsiella pneumoniae	strong	93	242698	534005	5438716	no	-	ST1593	ciprofloxacin	resistant		1	mg/L	MIC (broth dilution)	EUCAST		Phoenix			SPARK	1	1	-
ERR3480564	Klebsiella quasipneumoniae subsp. quasipneumoniae	strong	134	270688	974978	5515869	no	-	ST5325	ciprofloxacin	resistant	>	1	mg/L	MIC (broth dilution)	EUCAST		Phoenix			SPARK	2	2	-
ERR3480591	Klebsiella pneumoniae	strong	105	324027	629049	5555775	no	-	ST219	ciprofloxacin	resistant	>	1	mg/L	MIC (broth dilution)	EUCAST		Phoenix			SPARK	2	2	-
ERR3480634	Klebsiella pneumoniae	strong	118	273805	572638	5723085	no	-	ST45	ciprofloxacin	resistant	>	1	mg/L	MIC (broth dilution)	EUCAST		Phoenix			SPARK	2	2	-
ERR3480636	Klebsiella pneumoniae	strong	210	141498	532435	5554882	no	-	ST253	ciprofloxacin	resistant		1	mg/L	MIC (broth dilution)	EUCAST		Phoenix			SPARK	1	1	-
ERR3931814	Klebsiella pneumoniae	strong	85	349337	615171	5398113	no	-	ST111	ciprofloxacin	resistant		1	mg/L	MIC (broth dilution)	EUCAST		Phoenix			SPARK	1	1	-
ERR3932209	Klebsiella quasipneumoniae subsp. quasipneumoniae	strong	102	554639	1657128	5518700	no	-	ST571	ciprofloxacin	resistant	>	1	mg/L	MIC (broth dilution)	EUCAST		Phoenix			SPARK	2	2	-
ERR3932280	Klebsiella pneumoniae	strong	67	476075	1490142	5487236	no	-	ST4262	ciprofloxacin	resistant		1	mg/L	MIC (broth dilution)	EUCAST		Phoenix			SPARK	1	1	-
ERR4139189	Klebsiella quasipneumoniae subsp. quasipneumoniae	strong	97	246012	769564	5549892	no	-	ST978	ciprofloxacin	resistant		1	mg/L	MIC (broth dilution)	EUCAST		Phoenix			SPARK	1	1	-
ERR3440363	Klebsiella pneumoniae	strong	121	277572	743186	5821360	no	-	ST321	ciprofloxacin	resistant	>	1	mg/L	MIC (broth dilution)	EUCAST		Phoenix			SPARK	2	2	-
ERR3449000	Klebsiella pneumoniae	strong	53	484701	1297180	5343424	no	-	ST17	ciprofloxacin	resistant	>	1	mg/L	MIC (broth dilution)	EUCAST		Phoenix			SPARK	2	2	-
ERR3449005	Klebsiella quasipneumoniae subsp. quasipneumoniae	strong	106	301031	816069	5428306	no	-	ST978	ciprofloxacin	resistant	>	1	mg/L	MIC (broth dilution)	EUCAST		Phoenix			SPARK	2	2	-
ERR3449052	Klebsiella pneumoniae	strong	76	767216	1480180	5399325	no	-	ST1754	ciprofloxacin	resistant		1	mg/L	MIC (broth dilution)	EUCAST		Phoenix			SPARK	1	1	-
ERR3449115	Klebsiella pneumoniae	strong	52	944686	1945672	5430488	no	-	ST2004	ciprofloxacin	resistant	>	1	mg/L	MIC (broth dilution)	EUCAST		Phoenix			SPARK	2	2	-
ERR3449424	Klebsiella pneumoniae	strong	247	260646	724266	5777189	no	-	ST20	ciprofloxacin	resistant		1	mg/L	MIC (broth dilution)	EUCAST		Phoenix			SPARK	1	1	-
ERR3449459	Klebsiella pneumoniae	strong	106	409572	1282539	5459304	no	-	ST1190	ciprofloxacin	resistant		1	mg/L	MIC (broth dilution)	EUCAST		Phoenix			SPARK	1	1	-
ERR3449557	Klebsiella pneumoniae	strong	93	371555	983720	5447913	no	-	ST323	ciprofloxacin	resistant	>	1	mg/L	MIC (broth dilution)	EUCAST		Phoenix			SPARK	2	2	-
ERR3469800	Klebsiella pneumoniae	strong	71	1425661	1518316	5393372	no	-	ST1754	ciprofloxacin	resistant		1	mg/L	MIC (broth dilution)	EUCAST		Phoenix			SPARK	1	1	-
ERR3469801	Klebsiella pneumoniae	strong	75	767216	1518316	5393190	no	-	ST1754	ciprofloxacin	resistant		1	mg/L	MIC (broth dilution)	EUCAST		Phoenix			SPARK	1	1	-
ERR3469869	Klebsiella pneumoniae	strong	138	353913	503699	5353647	no	-	ST5125	ciprofloxacin	resistant	>	1	mg/L	MIC (broth dilution)	EUCAST		Phoenix			SPARK	2	2	-
ERR3479931	Klebsiella pneumoniae	strong	68	455116	1173605	5357677	no	-	ST983	ciprofloxacin	resistant	>	1	mg/L	MIC (broth dilution)	EUCAST		Phoenix			SPARK	2	2	-
ERR3479988	Klebsiella pneumoniae	strong	126	317452	711158	5821463	no	-	ST321	ciprofloxacin	resistant	>	1	mg/L	MIC (broth dilution)	EUCAST		Phoenix			SPARK	2	2	-
ERR3480103	Klebsiella pneumoniae	strong	227	250364	375771	5557949	no	-	ST459	ciprofloxacin	resistant	>	1	mg/L	MIC (broth dilution)	EUCAST		Phoenix			SPARK	2	2	-
ERR3480115	Klebsiella pneumoniae	strong	86	323562	629049	5533158	no	-	ST219	ciprofloxacin	resistant	>	1	mg/L	MIC (broth dilution)	EUCAST		Phoenix			SPARK	2	2	-
ERR3480377	Klebsiella pneumoniae	strong	102	315997	618597	5819038	no	-	ST45	ciprofloxacin	resistant	>	1	mg/L	MIC (broth dilution)	EUCAST		Phoenix			SPARK	2	2	-
ERR3480390	Klebsiella pneumoniae	strong	208	151840	599222	5564758	no	-	ST253	ciprofloxacin	resistant		1	mg/L	MIC (broth dilution)	EUCAST		Phoenix			SPARK	1	1	-
ERR4022833	Klebsiella pneumoniae	strong	118	273761	618387	5699125	no	-	ST45	ciprofloxacin	resistant	>	1	mg/L	MIC (broth dilution)	EUCAST		Phoenix			SPARK	2	2	-
ERR3448901	Klebsiella pneumoniae	strong	65	362069	1088395	5332876	no	-	ST629	ciprofloxacin	resistant		1	mg/L	MIC (broth dilution)	EUCAST		Phoenix			SPARK	1	1	-
ERR3448949	Klebsiella pneumoniae	strong	68	445673	774212	5590426	no	-	ST76	ciprofloxacin	resistant	>	1	mg/L	MIC (broth dilution)	EUCAST		Phoenix			SPARK	2	2	-
ERR3449432	Klebsiella pneumoniae	strong	102	409572	1282539	5458278	no	-	ST1190	ciprofloxacin	resistant		1	mg/L	MIC (broth dilution)	EUCAST		Phoenix			SPARK	1	1	-
ERR3469814	Klebsiella pneumoniae	strong	73	767216	1518316	5394394	no	-	ST1754	ciprofloxacin	resistant		1	mg/L	MIC (broth dilution)	EUCAST		Phoenix			SPARK	1	1	-
ERR3480260	Klebsiella pneumoniae	strong	75	538476	1440042	5425022	no	-	ST20	ciprofloxacin	resistant	>	1	mg/L	MIC (broth dilution)	EUCAST		Phoenix			SPARK	2	2	-
ERR3480309	Klebsiella pneumoniae	strong	123	317452	743187	5821932	no	-	ST321	ciprofloxacin	resistant	>	1	mg/L	MIC (broth dilution)	EUCAST		Phoenix			SPARK	2	2	-
ERR3480318	Klebsiella pneumoniae	strong	123	273805	618593	5660429	no	-	ST45	ciprofloxacin	resistant	>	1	mg/L	MIC (broth dilution)	EUCAST		Phoenix			SPARK	2	2	-
ERR3480414	Klebsiella pneumoniae	strong	72	327024	676329	5513772	no	-	ST23	ciprofloxacin	resistant	>	1	mg/L	MIC (broth dilution)	EUCAST		Phoenix			SPARK	2	2	-
ERR3480440	Klebsiella pneumoniae	strong	124	273761	615879	5719308	no	-	ST45	ciprofloxacin	resistant	>	1	mg/L	MIC (broth dilution)	EUCAST		Phoenix			SPARK	2	2	-
ERR3480567	Klebsiella pneumoniae	strong	88	360798	608471	5501669	no	-	ST628	ciprofloxacin	resistant	>	1	mg/L	MIC (broth dilution)	EUCAST		Phoenix			SPARK	2	2	-
ERR3844672	Klebsiella pneumoniae	strong	188	108738	378809	5358524	no	-	ST5174	ciprofloxacin	resistant		1	mg/L	MIC (broth dilution)	EUCAST		Phoenix			SPARK	1	1	-
ERR3844689	Klebsiella pneumoniae	strong	70	476075	1007692	5487208	no	-	ST4262	ciprofloxacin	resistant	>	1	mg/L	MIC (broth dilution)	EUCAST		Phoenix			SPARK	2	2	-
ERR3844707	Klebsiella pneumoniae	strong	73	430541	756721	5494578	no	-	ST36	ciprofloxacin	resistant		1	mg/L	MIC (broth dilution)	EUCAST		Phoenix			SPARK	1	1	-
ERR3904538	Klebsiella pneumoniae	strong	83	405783	983726	5477877	no	-	ST323	ciprofloxacin	resistant	>	1	mg/L	MIC (broth dilution)	EUCAST		Phoenix			SPARK	2	2	-
ERR3932072	Klebsiella pneumoniae	strong	56	436845	940316	5211683	no	-	ST45	ciprofloxacin	resistant	>	1	mg/L	MIC (broth dilution)	EUCAST		Phoenix			SPARK	2	2	-
ERR3932251	Klebsiella pneumoniae	strong	83	405783	983726	5485455	no	-	ST323	ciprofloxacin	resistant	>	1	mg/L	MIC (broth dilution)	EUCAST		Phoenix			SPARK	2	2	-
ERR3932268	Klebsiella quasivariicola	strong	181	205891	392833	5890156	no	-	ST3899	ciprofloxacin	resistant		1	mg/L	MIC (broth dilution)	EUCAST		Phoenix			SPARK	1	1	-
ERR3932274	Klebsiella pneumoniae	strong	71	459053	1490142	5487105	no	-	ST4262	ciprofloxacin	resistant	>	1	mg/L	MIC (broth dilution)	EUCAST		Phoenix			SPARK	2	2	-
ERR3932294	Klebsiella pneumoniae	strong	114	323610	494276	5772900	no	-	ST219	ciprofloxacin	resistant	>	1	mg/L	MIC (broth dilution)	EUCAST		Phoenix			SPARK	2	2	-
ERR3967811	Klebsiella pneumoniae	strong	84	405802	983726	5480076	no	-	ST323	ciprofloxacin	resistant	>	1	mg/L	MIC (broth dilution)	EUCAST		Phoenix			SPARK	2	2	-
ERR3967819	Klebsiella pneumoniae	strong	93	273805	618595	5626777	no	-	ST45	ciprofloxacin	resistant	>	1	mg/L	MIC (broth dilution)	EUCAST		Phoenix			SPARK	2	2	-
ERR4022884	Klebsiella quasipneumoniae subsp. quasipneumoniae	strong	84	693948	2212283	5525890	no	-	ST571	ciprofloxacin	resistant	>	1	mg/L	MIC (broth dilution)	EUCAST		Phoenix			SPARK	2	2	-
ERR3449187	Klebsiella pneumoniae	strong	187	355071	707636	5642493	no	-	ST3655	ciprofloxacin	resistant	>	1	mg/L	MIC (broth dilution)	EUCAST		Phoenix			SPARK	2	2	-
ERR3449471	Klebsiella pneumoniae	strong	53	491269	2248432	5581234	no	-	ST405	ciprofloxacin	resistant	>	1	mg/L	MIC (broth dilution)	EUCAST		Phoenix			SPARK	2	2	-
ERR3449551	Klebsiella pneumoniae	strong	102	208468	777071	5510197	no	-	ST234	ciprofloxacin	resistant		1	mg/L	MIC (broth dilution)	EUCAST		Phoenix			SPARK	1	1	-
ERR3469785	Klebsiella pneumoniae	strong	71	1425661	1518316	5393427	no	-	ST1754	ciprofloxacin	resistant		1	mg/L	MIC (broth dilution)	EUCAST		Phoenix			SPARK	1	1	-
ERR3469905	Klebsiella pneumoniae	strong	77	337509	588332	5469838	no	-	ST35	ciprofloxacin	resistant	>	1	mg/L	MIC (broth dilution)	EUCAST		Phoenix			SPARK	2	2	-
ERR3480317	Klebsiella pneumoniae	strong	167	246691	507725	5622911	no	-	ST792	ciprofloxacin	resistant	>	1	mg/L	MIC (broth dilution)	EUCAST		Phoenix			SPARK	2	2	-
ERR3480338	Klebsiella pneumoniae	strong	122	287077	618594	5740429	no	-	ST45	ciprofloxacin	resistant	>	1	mg/L	MIC (broth dilution)	EUCAST		Phoenix			SPARK	2	2	-
ERR3480350	Klebsiella pneumoniae	strong	106	375362	713865	5445581	no	-	ST13	ciprofloxacin	resistant	>	1	mg/L	MIC (broth dilution)	EUCAST		Phoenix			SPARK	2	2	-
ERR3480375	Klebsiella pneumoniae	strong	120	273797	491006	5707981	no	-	ST45	ciprofloxacin	resistant	>	1	mg/L	MIC (broth dilution)	EUCAST		Phoenix			SPARK	2	2	-
ERR3480376	Klebsiella pneumoniae	strong	143	215852	618593	5721641	no	-	ST45	ciprofloxacin	resistant		1	mg/L	MIC (broth dilution)	EUCAST		Phoenix			SPARK	1	1	-
ERR3480571	Klebsiella pneumoniae	strong	134	273761	618593	5707429	no	-	ST45	ciprofloxacin	resistant	>	1	mg/L	MIC (broth dilution)	EUCAST		Phoenix			SPARK	2	2	-
ERR3480576	Klebsiella pneumoniae	strong	100	315997	618594	5734113	no	-	ST45	ciprofloxacin	resistant	>	1	mg/L	MIC (broth dilution)	EUCAST		Phoenix			SPARK	2	2	-
ERR3480673	Klebsiella pneumoniae	strong	93	349682	1188691	5692615	no	-	ST4948	ciprofloxacin	resistant		1	mg/L	MIC (broth dilution)	EUCAST		Phoenix			SPARK	1	1	-
ERR3844749	Klebsiella pneumoniae	strong	71	426979	1333325	5428644	no	-	ST17	ciprofloxacin	resistant	>	1	mg/L	MIC (broth dilution)	EUCAST		Phoenix			SPARK	2	2	-
ERR3932018	Klebsiella pneumoniae	strong	117	317452	743186	5817480	no	-	ST321	ciprofloxacin	resistant		1	mg/L	MIC (broth dilution)	EUCAST		Phoenix			SPARK	1	1	-
ERR3932158	Klebsiella pneumoniae	strong	35	749911	1920884	5277987	no	-	ST711	ciprofloxacin	resistant	>	1	mg/L	MIC (broth dilution)	EUCAST		Phoenix			SPARK	2	2	-
ERR4139190	Klebsiella pneumoniae	strong	191	317913	685001	5612946	no	-	ST3655	ciprofloxacin	resistant		1	mg/L	MIC (broth dilution)	EUCAST		Phoenix			SPARK	1	1	-
ERR3440417	Klebsiella pneumoniae	strong	117	313816	1234611	5485681	no	-	ST268	ciprofloxacin	resistant		1	mg/L	MIC (broth dilution)	EUCAST		Phoenix			SPARK	1	1	-
ERR3448900	Klebsiella pneumoniae	strong	59	362069	1088395	5333422	no	-	ST629	ciprofloxacin	resistant		1	mg/L	MIC (broth dilution)	EUCAST		Phoenix			SPARK	1	1	-
ERR3449036	Klebsiella pneumoniae	strong	76	593496	967222	5322412	no	-	ST661	ciprofloxacin	resistant		1	mg/L	MIC (broth dilution)	EUCAST		Phoenix			SPARK	1	1	-
ERR3449109	Klebsiella pneumoniae	strong	233	141498	599218	5702999	no	-	ST253	ciprofloxacin	resistant	>	1	mg/L	MIC (broth dilution)	EUCAST		Phoenix			SPARK	2	2	-
ERR3449110	Klebsiella pneumoniae	strong	52	944686	1945672	5430571	no	-	ST2004	ciprofloxacin	resistant	>	1	mg/L	MIC (broth dilution)	EUCAST		Phoenix			SPARK	2	2	-
ERR3449139	Klebsiella pneumoniae	strong	136	287077	618594	5761978	no	-	ST45	ciprofloxacin	resistant	>	1	mg/L	MIC (broth dilution)	EUCAST		Phoenix			SPARK	2	2	-
ERR3469786	Klebsiella pneumoniae	strong	82	645747	1518349	5399097	no	-	ST1754	ciprofloxacin	resistant		1	mg/L	MIC (broth dilution)	EUCAST		Phoenix			SPARK	1	1	-
ERR3469867	Klebsiella pneumoniae	strong	80	364568	881587	5424634	no	-	ST2418	ciprofloxacin	resistant		1	mg/L	MIC (broth dilution)	EUCAST		Phoenix			SPARK	1	1	-
ERR3469868	Klebsiella pneumoniae	strong	80	364568	881587	5424518	no	-	ST2418	ciprofloxacin	resistant		1	mg/L	MIC (broth dilution)	EUCAST		Phoenix			SPARK	1	1	-
ERR3469878	Klebsiella pneumoniae	strong	134	273761	618593	5722775	no	-	ST45	ciprofloxacin	resistant	>	1	mg/L	MIC (broth dilution)	EUCAST		Phoenix			SPARK	2	2	-
ERR3469886	Klebsiella variicola subsp. variicola	strong	261	125035	536282	6086349	no	-	ST250-1LV	ciprofloxacin	resistant	>	1	mg/L	MIC (broth dilution)	EUCAST		Phoenix			SPARK	2	2	-
ERR3479932	Klebsiella pneumoniae	strong	111	371626	713865	5444883	no	-	ST13	ciprofloxacin	resistant	>	1	mg/L	MIC (broth dilution)	EUCAST		Phoenix			SPARK	2	2	-
ERR3480022	Klebsiella pneumoniae	strong	132	349193	999663	5771115	no	-	ST606	ciprofloxacin	resistant	>	1	mg/L	MIC (broth dilution)	EUCAST		Phoenix			SPARK	2	2	-
ERR3480325	Klebsiella pneumoniae	strong	105	414093	629049	5676904	no	-	ST219	ciprofloxacin	resistant	>	1	mg/L	MIC (broth dilution)	EUCAST		Phoenix			SPARK	2	2	-
ERR3480433	Klebsiella pneumoniae	strong	117	273805	572638	5721714	no	-	ST45	ciprofloxacin	resistant	>	1	mg/L	MIC (broth dilution)	EUCAST		Phoenix			SPARK	2	2	-
ERR3480592	Klebsiella pneumoniae	strong	105	323568	629049	5555725	no	-	ST219	ciprofloxacin	resistant	>	1	mg/L	MIC (broth dilution)	EUCAST		Phoenix			SPARK	2	2	-
ERR3844686	Klebsiella pneumoniae	strong	119	199915	540992	5708891	no	-	ST45	ciprofloxacin	resistant	>	1	mg/L	MIC (broth dilution)	EUCAST		Phoenix			SPARK	2	2	-
ERR3844705	Klebsiella pneumoniae	strong	71	430541	756721	5496285	no	-	ST36	ciprofloxacin	resistant		1	mg/L	MIC (broth dilution)	EUCAST		Phoenix			SPARK	1	1	-
ERR3932278	Klebsiella pneumoniae	strong	67	476075	1490142	5487112	no	-	ST4262	ciprofloxacin	resistant	>	1	mg/L	MIC (broth dilution)	EUCAST		Phoenix			SPARK	2	2	-
ERR3932296	Klebsiella pneumoniae	strong	127	273761	615978	5683705	no	-	ST45	ciprofloxacin	resistant	>	1	mg/L	MIC (broth dilution)	EUCAST		Phoenix			SPARK	2	2	-
ERR4023134	Klebsiella pneumoniae	strong	72	345788	640252	5788236	no	-	ST5	ciprofloxacin	resistant		1	mg/L	MIC (broth dilution)	EUCAST		Phoenix			SPARK	1	1	-
